Date, Open, High, Low, Close
03/21/23, 131.32, 132.63, 131.03, 132.49
03/20/23, 131.85, 132.65, 130.55, 131.32
03/17/23, 133.75, 133.77, 131.55, 131.83
03/16/23, 133.42, 133.85, 131.72, 133.75
03/15/23, 134.22, 135.12, 132.23, 133.43
03/14/23, 133.21, 134.90, 133.06, 134.23
03/13/23, 135.00, 135.05, 132.28, 133.21
03/10/23, 136.15, 136.99, 134.13, 135.00
03/09/23, 137.36, 137.38, 135.95, 136.14
03/08/23, 137.15, 137.91, 136.49, 137.35
03/07/23, 135.93, 137.19, 135.56, 137.15
03/06/23, 135.98, 136.19, 135.38, 135.92
03/03/23, 136.77, 136.79, 135.75, 135.85
03/02/23, 136.19, 137.10, 136.02, 136.77
03/01/23, 136.22, 136.47, 135.25, 136.20
02/28/23, 136.20, 136.93, 135.74, 136.22
02/27/23, 136.47, 136.52, 135.93, 136.23
02/24/23, 134.69, 136.51, 134.06, 136.46
02/23/23, 134.70, 135.36, 134.50, 134.68
02/22/23, 135.01, 135.06, 134.38, 134.93
02/21/23, 134.29, 135.23, 134.16, 135.02
02/20/23, 134.10, 134.53, 133.93, 134.25
02/17/23, 133.94, 135.13, 133.94, 134.10
02/16/23, 134.14, 134.50, 133.61, 133.94
02/15/23, 133.16, 134.36, 132.55, 134.17
02/14/23, 132.42, 133.30, 131.51, 133.12
02/13/23, 131.43, 132.90, 131.16, 132.40
02/10/23, 131.57, 131.88, 129.81, 131.40
02/09/23, 131.41, 131.82, 130.34, 131.54
02/08/23, 131.07, 131.53, 130.60, 131.43
02/07/23, 132.66, 132.72, 130.48, 131.08
02/06/23, 131.19, 132.90, 131.18, 132.65
02/03/23, 128.71, 131.22, 128.33, 131.18
02/02/23, 128.96, 129.11, 128.09, 128.72
02/01/23, 130.09, 130.41, 128.55, 128.95
01/31/23, 130.42, 130.53, 129.75, 130.11
01/30/23, 129.88, 130.62, 129.21, 130.44
01/27/23, 130.21, 130.28, 129.51, 129.85
01/26/23, 129.60, 130.62, 129.03, 130.22
01/25/23, 130.17, 130.58, 129.28, 129.59
01/24/23, 130.66, 131.12, 129.73, 130.16
01/23/23, 129.56, 130.88, 129.06, 130.66
01/20/23, 128.43, 130.61, 128.35, 129.50
01/19/23, 128.91, 128.96, 127.77, 128.43
01/18/23, 128.13, 131.58, 127.58, 128.92
01/17/23, 128.58, 129.15, 128.00, 128.14
01/16/23, 127.89, 128.87, 127.22, 128.57
01/13/23, 129.29, 129.43, 127.48, 127.86
01/12/23, 132.47, 132.52, 128.89, 129.30
01/11/23, 132.25, 132.88, 132.06, 132.49
01/10/23, 131.88, 132.48, 131.41, 132.25
01/09/23, 132.09, 132.66, 131.31, 131.89
01/06/23, 133.41, 134.76, 132.00, 132.11
01/05/23, 132.63, 134.06, 131.68, 133.40
01/04/23, 131.03, 132.72, 129.94, 132.63
01/03/23, 130.74, 131.37, 129.77, 131.01
01/02/23, 131.12, 131.12, 130.63, 130.74
